,text,label
4574,    this really how bitches be to lmfao   httptcooclexcsgsp,__label__offensive
1223,  u will see it on saturday and if u do not show up then your a bitch made nigga pussy ass nigga,__label__offensive
1496,should   go to   or   that turned him into an ape httptcoowgocjxpxs nothe   major  ,__label__non_offensive
2962,    rich homie and bird man gone be at mansion   tonight  ,__label__non_offensive
2068,    wanna know if a bitch hygiene up to par wipe behind that bitch ear and put it to her nose if she flinchyou got ya ,__label__offensive
2430,  birds of a feather you stand with peta i stand with sanity,__label__non_offensive
4467,michigan is a big state the hoes on twitter and instagram make just it smaller,__label__offensive
1950,too fast for the feds too cocky for the cops had to ditch my old bitch gettin sloppy wit the pots,__label__offensive
683,xx     fat bitches with normal sized legs be looking like car keys,__label__offensive
3341,bad asian bitch yea she look just like kemora,__label__offensive
3928,i got 99 problems but a bitch aint one she is all 99 of em i need a michane gun,__label__offensive
1287,i like to butt fuck fine ladies will i choke hold a bitch well maybe  ,__label__offensive
2553,    if you are a freshman and you have fucked 14 of the boys in the senior class you are a hoe  ,__label__offensive
392,we aint gon talk bout yo partnas cuz dey aint shit like my niccas,__label__offensive
2095,if you have that lil pussy stomach pouch thingy do not wear no tight clothes shit is unattractive ,__label__offensive
2422,99 problems but a bitch aint 1,__label__offensive
1135,hanging out with guys does not make you a hoe,__label__offensive
4427,rihannas favorite thing about white house visits my president being black httptco86zvjuzjlr   poking whiteynot wise,__label__offensive
535,  i gotta find them i know cali got them hoes,__label__offensive
595,my nigga calls fat bitches   porkers  lmao,__label__offensive
1704,they told me to fuc wit bitches but never trust em they told me they my niggas but i never trust em,__label__offensive
2398,niggas swear they do not trust these hoes but be fucking raw  ,__label__offensive
2732,  suck it up pussy,__label__offensive
1376,  well since you is blood you get a g pass but only this time and i will not tell wop about that lyric situation,__label__non_offensive
4656,    currently taking over ur bitches brain with my creativity and wierdness,__label__offensive
3713,she gotta shape up her pussy lips tho   whole wheat organic pussy httptcokq0r0a7z2g,__label__offensive
305,i aint neva care what ah bitch had to say bout me,__label__offensive
4473,      90 percent yo bitch with me 100 percent that scrap with me ,__label__offensive
2264,lmfaoooooo     i am so glad my shorty aint all over twitter and ig tryna be a famous columbus hoe  ,__label__offensive
3025,    the streets aint going no where these hoes for everybody when you got someone real you hold on to them,__label__offensive
4453,these ratchet hoes are something else this school smells like a fucking zoo,__label__offensive
3107,i am from   so i know it is bad butbitch it aint like you live in englewood  ,__label__offensive
2984,  yo bitch i miss you too,__label__offensive
3301,never take a bitch where you stay never keep work where you lay,__label__offensive
2823,son of a bitch  ,__label__offensive
3942,          bitch yall relationship aint shit but a theory,__label__offensive
2575,      swear ag ugly den a bitch he look like a possum and giraffe mix breed this isnt funny but i died l ,__label__offensive
3415,  you become retarded,__label__offensive
1512,      is that fire works   or pussy poppin    nigga wtf sounds like something you had say,__label__offensive
4501,810 of the girls u went to hs with look horrible now but do not wanna believe iti am bout to piss them facebook hoes off with this,__label__offensive
3715,jay z  takeover amp u do not know live  home amp home concert yankee stadium httptco4euk80ulis via  ,__label__non_offensive
2009,    you gotta be a weak bitch to let a couple tweets get you out of character,__label__offensive
1600,damn i hate a bitch that like to argue and shit,__label__offensive
409,    these hoes sad man,__label__offensive
2449,the brownies i just made are a sin,__label__non_offensive
429,    you gotta have luuuuubeall ya really need is luuuube dental dam yankees,__label__offensive
131,  and im beautiful bitch,__label__offensive
265,  i drive illegally retard,__label__offensive
657,    kanye gt tupac are you serious yep bitch keep it moving,__label__offensive
774,physical amp bed     these bitches frame is trash  ,__label__offensive
186,    9 10 now you are having my twins     7 8 get that pussy ate       you   httptcowwsinej ,__label__offensive
744,  would help for some others cannot handle uppers and cripples them plus if moderation is not taken into consideration it will be bad,__label__non_offensive
438,people love to touch my hair ooo is this real yes bitch is yours,__label__offensive
714,    i do not have a key to my car that bitch foreign  ,__label__offensive
1261,chill bitch httptcobaxiffkd9w,__label__offensive
3151, i am that niggah you can show out in public babbbbbbyyyy   lol,__label__offensive
3387,  a music suggestion is lil spook,__label__non_offensive
1284,    free wop,__label__offensive
549,all the work gone so we aint going nothin but fucking bitches in the trap,__label__offensive
1611,  half tempted to go outside and run my phone over with my car because it is such a piece of shit   do it pussy,__label__offensive
3197,lesbians all be like yoho and scissor me timbers,__label__offensive
4404,    hoe yu erbody bitch  ,__label__offensive
2810,stevie j my nigga   bitch be on ten,__label__offensive
1200,        2 many lil bitty bitches,__label__offensive
1589,    im joked out bitch you stupid,__label__offensive
3989,girl acting like i am staring at herbitch i just cannot laugh at your jokeaint worth staring at anyways,__label__offensive
3252,    shut up faggot  himself up,__label__offensive
87,  viva brazil niggah lol,__label__offensive
284,already scratched off mines     paying for pussy still on my bucket list,__label__offensive
1227,  it is we be thugging on these bitches too hard now days,__label__offensive
2410,      999 of bitches are hoes except my mama ,__label__offensive
1526,      you are still a bitch,__label__offensive
2855,    since 1914 derek jeter  91 multihit games vs   are 4th most among   behind gehrig  121 ruth  99 an ,__label__non_offensive
2973,breaking yo bitch like a kitkat nigga,__label__offensive
170,i luv watching gas monkey they be havin some classics on there,__label__non_offensive
2395,the right for an english person to go about his business is more important than any suspicion of some rouge wog cop,__label__non_offensive
3072,    i am such a bitch lmao i really just say what is on my mind though cannot help it,__label__offensive
2626,    about to rock this bitch with   with our beautiful angelic voices  ,__label__offensive
4206,marcus colston so damn trash,__label__offensive
324,    thanks for ignoring me faggots i am locked outside    ,__label__offensive
2179,this nicca just typed to meyou are very busy two   so i am busy twice lmao,__label__offensive
2508,my grandma got a rosta colored dressit is so pretty she better let me borrow it,__label__non_offensive
3135,    go ahead and mock me one day i will sell enough of this makeup to drive the pink mary kay cadillac and we will see who is gay ,__label__offensive
3420,i went from smart car to a bitch with some smart lips,__label__offensive
1224,if u eat fried eggs and leave the yolk entirely yellow ur a disgrace and also nasty,__label__non_offensive
2522,get a bitch break a bitch,__label__offensive
692,when girls say like ohh i am so ugly like bitch you aint fishing for compliments you are like deep sea diving fuck,__label__offensive
161,the john cantlie video issued by al furqan media is a new level of the jihadi propaganda promises more episodes amp wages ideological warfare,__label__non_offensive
4411,if you body count more then mine you a hoe js,__label__offensive
4565,    niggas be like i got some hoes on the flo    httptcoswfpgrbliv,__label__offensive
4374,    i wish i was one of those girls who guys liked no matter whatike i could wear sweats and my hair up and they would sti ,__label__non_offensive
2008,i just love that tweaking hoe tweaking hoe song that is the only part i no   wee be getting money so we ball out some sme sme,__label__offensive
2571,  yea i listen to that hoe when i wake up,__label__offensive
3774,  bitch cause u wanted to fight and you did not show up and tryna make a bet and shit get yo friendly ass off my twitter,__label__offensive
212,    throw me a blunt bitch,__label__offensive
2701,    good riddance bitches   httptcodeqbjlftxz,__label__offensive
1901,wallah i will drop kick this bitch,__label__offensive
4251,    if a girl cant make a decision whether to date you or not tell that bitch to kick rocks,__label__offensive
436,    raven symones hair be like i am not colored i am american httptcomkx0d4bh2q,__label__non_offensive
4485,    what you bitches fail to realize is these niggas do not really be moving on   they still be fucking with that same bitch  ,__label__offensive
4012,bitches be brillianthaha  httptcomhaiphrpbn,__label__offensive
2532,it the principle of the matter bitch  ,__label__offensive
3834,  fuck wit us and then we tweakin hoe shmurda,__label__offensive
843,all i need is one i do not want the hoes ,__label__offensive
1806,    man these hoes so familiar one minute on the team next minute they aint with ya,__label__offensive
203,this niggah aaron had me weak last night,__label__offensive
2405,people talk shit on twitter but when they see you in person be looking like bitch wtf you looking at yes its me yeah i am cute,__label__offensive
533,  fucc droppin songs when yu gon drop a mixtape nicca,__label__offensive
1475,1 loyal girl gt 1oo hoes,__label__offensive
2795,    damn rico ass hit that hoe on point  ,__label__offensive
3128,    that peppers slant was a geniuscrazy call genius if he catches it crazy if he drops it then blow a to then get sack ,__label__non_offensive
3982,the bitches behind me are so annoying,__label__offensive
852,i bent yo bitch over that is why you mad these niggas broke that is why i laugh,__label__offensive
745, fucking on the first night do not make you a hoe   ,__label__offensive
4184,when you tell a dark skin bitch to send you some sexy shit httptcof5rur3rklu,__label__offensive
2257,when ya name gain weight ya ex bitches cant let go,__label__offensive
3187,im allowed to trip on my bitch  she cant trip on me tho,__label__offensive
2798,    i started fuckin with bitches who believe everything their horoscope saythey believe the dumbass horoscopes they gunna bel ,__label__offensive
3012,pumpkin spice marlboros for da hoes,__label__offensive
4482,no face no trace pussy boys  ,__label__offensive
4632,i do not love my hoes i love a couple not all  ,__label__offensive
597,you have gone and broke the wrong heart baby and drove me redneck crazy,__label__non_offensive
1143,  cavs trash heat trash smh  gotta make trades,__label__non_offensive
3418,bad bitch contest you in first place   httptcoc1cpzmzeqr,__label__offensive
1018,these hoes be flawgen i swear bruh a nigga dont want yall,__label__offensive
4627,how come i will not pray but find time for a bitch,__label__offensive
113,crank up a little hank sit on the hood and drink i am about to get my redneck on,__label__offensive
3222,    bitches tweets be likei wanna suck some dick   then be like  chill it is just a song  bitch what song is ,__label__offensive
4419,yup     then she got aids and died     jenny was a bitch  ,__label__offensive
1194,then there is this stupid bitch in my class that literally has to ask a question every time the professor says something,__label__offensive
3705,these niggas out here bitchin tell em suck sumn these bitches see my vision tell em fuck sumn,__label__offensive
1491,      mrs harden be blowin me i be wanna snap on her ahhi had that bitch freshmen year damn nea caught a ,__label__offensive
3152,when the dude shoots his jiz in the bitches eye in silence of the lambs,__label__offensive
2952,      you can tease this dick faggot,__label__offensive
463,  pepe because his defending was outstanding his tackles were accurate nd he did hos job perfectly in both legs,__label__non_offensive
2357,  can i ask my bitch for other bitches,__label__offensive
317,  money getting taller and bitches getting blurry,__label__offensive
3204,i feel like slapping a bitch,__label__offensive
1056,    onea you all btches gon end up dead over a screen shot thinkn that sht funnyaint too many niccas gon laugh at that b,__label__offensive
3018,    just spent a good twenty mins trying to teach my bird the skyrim theme song then i realized that he was a bird,__label__non_offensive
2171,mann jada pickett was a badddddd bitch  ,__label__offensive
4217,    no girl sucks dick but somehow all dudes get head dudes only fuck bad bitches yet all these ugly girls getting pregnant ,__label__offensive
1586,miley cyrus kinda looks like a retarded care bear,__label__offensive
949,    all 3  haha because i am   and your   sexxy bitch,__label__offensive
4562,    is everyone on the redskins lathered in oil what the fuck,__label__offensive
1921,chances make champions nicca aint nothing stopping you,__label__offensive
3429,this bitch just texted me baby baby you miss me,__label__offensive
2539,  tow truck       httpstcoifinqwvrad,__label__non_offensive
4029,you you cannot get no money silly hoe,__label__offensive
4477,  why were there penguins and a bird in the puppy bowl,__label__non_offensive
2588,  jeff luhnow is to blame for the astros not blowing out the red sox and yankees hc,__label__non_offensive
2653,        this charlie z really does need mental help check this out httptcockbs6wczu1,__label__non_offensive
2479,    these fine bitches are prolly poopin and flat ironing they hair to no flex zone right now,__label__offensive
2725,  bring it bitch,__label__offensive
1215,  i know bout yo wack ass dreads nigger,__label__offensive
118,big gday so to     nicca lol,__label__offensive
4607,digging a hole is very satisfying it is climbing out that is a bitch,__label__offensive
2997,who shot john lookin ass hoe,__label__offensive
2867,      homemade pussy eating   httptco2yuidrln3k httptcoz8gaiwllye,__label__offensive
369,    hulkamania is running wild on that pussy,__label__offensive
2230,i jus wanna smoke rub on a bitch booty n bump these days,__label__offensive
370,    pop a molly why do not you hoes start poppin some birth control  ,__label__offensive
2328,on a mission to find some zebra cakes,__label__non_offensive
3924,this headache is a bitch  ,__label__offensive
979,  youre cheating on mickey bubbles o,__label__non_offensive
2640,going to get my id today fucking finally i will see you retards soon,__label__offensive
1903,the devil wears charlie by revlon  ,__label__non_offensive
864,ive never seen this part of pussy town before lolololol the end of this song thoo,__label__offensive
273,cannot trust these hoes and when i say hoes i mean dudes to,__label__offensive
2280,twitter niggas always want you to have unprotected sex with these nothing ass bitches nah,__label__offensive
589,  when u want a cig but ur lovey gf will not go get them       guilt trip city lil bitch,__label__offensive
1793,    these 5th grade hoes aint loyal  httptcovu3xnalags,__label__offensive
50,    lmao dis bitch dumb asl httptcoo0rraj8vij,__label__offensive
191,hahaha i see you niggah  ,__label__offensive
3264,it is definitely a bitch everything in life is ruled by money such a moral heartbreak,__label__offensive
1168,why yall bitches be havin stretch marks on yall upper ass  ,__label__offensive
